
2024/01/11 (21:56:50) | ===> btop++ v.1.3.0
2024/01/11 (21:56:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/11 (22:08:48) | ===> btop++ v.1.3.0
2024/01/11 (22:08:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (13:24:00) | ===> btop++ v.1.3.0
2024/01/12 (13:24:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (13:24:05) | ===> btop++ v.1.3.0
2024/01/12 (13:24:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (15:09:34) | ===> btop++ v.1.3.0
2024/01/12 (15:09:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (18:57:50) | ===> btop++ v.1.3.0
2024/01/12 (18:57:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:15:39) | ===> btop++ v.1.3.0
2024/01/12 (21:15:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:18:24) | ===> btop++ v.1.3.0
2024/01/12 (21:18:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:18:37) | ===> btop++ v.1.3.0
2024/01/12 (21:18:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:19:50) | ===> btop++ v.1.3.0
2024/01/12 (21:19:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:20:27) | ===> btop++ v.1.3.0
2024/01/12 (21:20:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:20:28) | ===> btop++ v.1.3.0
2024/01/12 (21:20:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:20:39) | ===> btop++ v.1.3.0
2024/01/12 (21:20:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:20:41) | ===> btop++ v.1.3.0
2024/01/12 (21:20:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:32:18) | ===> btop++ v.1.3.0
2024/01/12 (21:32:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/12 (21:32:24) | ===> btop++ v.1.3.0
2024/01/12 (21:32:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:43:14) | ===> btop++ v.1.3.0
2024/01/13 (07:43:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:43:24) | ===> btop++ v.1.3.0
2024/01/13 (07:43:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:43:33) | ===> btop++ v.1.3.0
2024/01/13 (07:43:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:43:54) | ===> btop++ v.1.3.0
2024/01/13 (07:43:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:43:58) | ===> btop++ v.1.3.0
2024/01/13 (07:43:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:46:11) | ===> btop++ v.1.3.0
2024/01/13 (07:46:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:46:29) | ===> btop++ v.1.3.0
2024/01/13 (07:46:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:46:46) | ===> btop++ v.1.3.0
2024/01/13 (07:46:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:46:48) | ===> btop++ v.1.3.0
2024/01/13 (07:46:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:46:53) | ===> btop++ v.1.3.0
2024/01/13 (07:46:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:49:16) | ===> btop++ v.1.3.0
2024/01/13 (07:49:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:49:18) | ===> btop++ v.1.3.0
2024/01/13 (07:49:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:49:48) | ===> btop++ v.1.3.0
2024/01/13 (07:49:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:50:07) | ===> btop++ v.1.3.0
2024/01/13 (07:50:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:50:22) | ===> btop++ v.1.3.0
2024/01/13 (07:50:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:50:26) | ===> btop++ v.1.3.0
2024/01/13 (07:50:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:50:37) | ===> btop++ v.1.3.0
2024/01/13 (07:50:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/13 (07:50:56) | ===> btop++ v.1.3.0
